feature,coef,abs_coef
cat__ILS_28R,0.5159823605874613,0.5159823605874613
cat__AP_C_RWY_04L,0.5034755872124875,0.5034755872124875
cat__AP_C_RWY_25C,-0.4950477941661279,0.4950477941661279
cat__AP_C_RWY_01L,0.46370921453386,0.46370921453386
cat__market_segment_Non-Scheduled,-0.4513387502319334,0.4513387502319334
cat__ILS_11,0.43689814550043077,0.43689814550043077
cat__AP_C_RWY_26R,0.43469604683110935,0.43469604683110935
cat__ILS_18R,-0.4311366031068058,0.4311366031068058
cat__AP_C_RWY_09R,0.42769894623841076,0.42769894623841076
cat__ILS_25L,-0.42213129654949083,0.42213129654949083
cat__country_Switzerland,-0.4161327560352377,0.4161327560352377
cat__AP_C_RWY_23L,-0.4114315189103037,0.4114315189103037
cat__market_segment_Regional,-0.4095777013940427,0.4095777013940427
cat__AP_C_RWY_29,0.39732818675223064,0.39732818675223064
cat__ILS_29,0.3939335680907818,0.3939335680907818
cat__ILS_16,0.3932247220362072,0.3932247220362072
cat__AP_C_RWY_27,0.39314237406578656,0.39314237406578656
cat__AP_C_RWY_01R,-0.383707173952311,0.383707173952311
cat__ILS_25C,-0.37924081525143927,0.37924081525143927
cat__ILS_09,0.3697288697611529,0.3697288697611529
cat__ILS_34L,0.36806032653341475,0.36806032653341475
cat__AC_CLASS_ZZ,-0.3425118783654145,0.3425118783654145
cat__AP_C_RWY_08R,0.3393596628820184,0.3393596628820184
cat__AP_C_RWY_32L,0.33929232606621074,0.33929232606621074
cat__AP_C_RWY_25L,0.3321452837947814,0.3321452837947814
cat__ILS_26,-0.32974810861065457,0.32974810861065457
cat__airport_LSGG,-0.3265579877865409,0.3265579877865409
cat__AP_C_RWY_22L,0.3160485545650433,0.3160485545650433
cat__AP_C_RWY_09L,0.3152070733448729,0.3152070733448729
cat__airport_EGSS,-0.3146816966042415,0.3146816966042415
cat__ILS_34R,-0.31015755149104907,0.31015755149104907
cat__ILS_16R,-0.3079239223680272,0.3079239223680272
cat__ILS_26R,-0.307918357560533,0.307918357560533
cat__country_United Kingdom,-0.3040666346484086,0.3040666346484086
cat__AP_C_RWY_28,-0.30206966497560234,0.30206966497560234
cat__AP_C_RWY_19L,0.29965196048464193,0.29965196048464193
cat__ILS_02,0.2955845269886612,0.2955845269886612
cat__AP_C_RWY_05R,0.29328593288189747,0.29328593288189747
cat__AP_C_RWY_34L,-0.2885345761627454,0.2885345761627454
cat__ILS_09R,-0.28823364746309255,0.28823364746309255
cat__airport_EDDM,-0.28514034528884497,0.28514034528884497
cat__airport_LFPO,0.28457685437404856,0.28457685437404856
cat__ILS_16L,0.2843359816235006,0.2843359816235006
cat__market_segment_Business,-0.27169785522264506,0.27169785522264506
cat__ILS_01R,0.2668688557325524,0.2668688557325524
cat__AP_C_RWY_27L,0.2617107848651615,0.2617107848651615
cat__ILS_32R,0.26131267699207306,0.26131267699207306
cat__airport_LFPG,-0.2561419072998055,0.2561419072998055
cat__ILS_07L,0.2517152101451473,0.2517152101451473
cat__AP_C_RWY_24,-0.2513838752523928,0.2513838752523928
cat__ILS_04,0.2487407913349554,0.2487407913349554
